Clave,Concepto,Unidad
,SOBRANTES FUERA DE LA OBRA Y TODO LO,
,NECESARIO PARA SU CORRECTA EJECUCIÓN.,
CRTC-ALBN-012,MURO DE CERRAMIENTO REFORZADO MR1-C DE,M2
,TABIQUE DE BARRO ROJO RECOCIDO DE 10 x 14,
,"x 28 CM, DE 28 CMS DE ESPESOR, ACABADO",
,"COMÚN, ASENTADO CON MEZCLA MORTERO",
,"CEM-ARENA EN PROP. 1:5, CON ESPESOR DE",
,JUNTA 2 CM Y REFUERZO A UNA CARA CON,
,MALLA ELECTROSOLDADA 6X6/10-10 (VER,
,"DETALLE). INCLUYE: FLETES, SUMINISTRO DE",
,"MATERIALES, ACARREOS, ELABORACIÓN DE",
,"MORTERO, CORTES DE TABICÓN, MOCHETAS,",
,"MANO DE OBRA, RETIRO DE SOBRANTES FUERA",
,"DE LA OBRA Y HERRAMIENTA, LIMPIEZA, RETIRO",
,DE SOBRANTES FUERA DE LA OBRA Y TODO LO,
,NECESARIO PARA SU CORRECTA EJECUCIÓN.,
CRTC-ALBN-013,"DALA DL-1 DE SECCIÓN 15X20 CM, ARMADA CON",M
,4 VARILLAS DE #3 EN LECHO SUPERIOR Y 2,
,"VARILLAS DE #4 EN LECHO INFERIOR, CON",
,ESTRIBOS DE #2 @ 20 CM Y CONCRETO F'C= 200,
,KG/CM2. INCLUYE: SUMINISTRO DE LOS,
,"MATERIALES, ACARREOS, CORTES, TRASLAPES,",
,"AMARRES, DESPERDICIOS, MANO DE OBRA,",
,EQUIPO Y HERRAMIENTA.,
CRTC-ALBN-015,"DALA DL-28 DE SECCIÓN 20X28 CM, ARMADA CON",M
,"6 VARILLAS DE #3 , CON ESTRIBOS DE #2 @ 20",
,CM Y CONCRETO F'C= 200 KG/CM2. INCLUYE:,
,"SUMINISTRO DE LOS MATERIALES, ACARREOS,",
,"CORTES, TRASLAPES, AMARRES, DESPERDICIOS,",
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-ALBN-016,MURO DE ENRRASE DE 15 CM DE ESPESOR Y,M
,"HASTA 1.00 M DE ALTURA, A BASE DE TABIQUE",
,"DE BARRO ROJO RECOCIDO DE 10x14x28 CM,",
,"ACABADO COMÚN, ASENTADO CON MEZCLA",
,"MORTERO CEM-ARENA EN PROP. 1:5, CON",
,"ESPESOR DE JUNTA DE 2 CM. INCLUYE: FLETES,",
,"SUMINISTRO DE MATERIALES, ACARREOS,",
,"ELABORACIÓN DE MORTERO, CORTES DE",
,"TABICÓN, MOCHETAS, MANO DE OBRA,",
,"HERRAMIENTA, LIMPIEZA, RETIRO DE",
,SOBRANTES FUERA DE LA OBRA Y TODO LO,
,NECESARIO PARA SU CORRECTA EJECUCIÓN.,
CRTC-ALBN-017,MURO DE ENRRASE MR1C DE 15 CM DE,M
,"ESPESORY HASTA 1.00 M ALTURA, A BASE DE",
,TABIQUE DE BARRO ROJO RECOCIDO DE,
,"10x14x28 CM, ACABADO COMÚN, ASENTADO CON",
,"MEZCLA MORTERO CEM-ARENA EN PROP. 1:5,",
,CON ESPESOR DE JUNTA DE 2 CM. INCLUYE:,
,"FLETES, SUMINISTRO DE MATERIALES,",
,"ACARREOS, ELABORACIÓN DE MORTERO,",
,"CORTES DE TABICÓN, MOCHETAS, MANO DE",
,"OBRA, HERRAMIENTA, LIMPIEZA, RETIRO DE",
,SOBRANTES FUERA DE LA OBRA Y TODO LO,
